epi_date,cases,asof,cumulative_sum
5/17/2022,1,Data as of 8/31/2022,1
5/18/2022,0,Data as of 8/31/2022,1
5/19/2022,2,Data as of 8/31/2022,3
5/20/2022,3,Data as of 8/31/2022,6
5/21/2022,0,Data as of 8/31/2022,6
5/22/2022,1,Data as of 8/31/2022,7
5/23/2022,3,Data as of 8/31/2022,10
5/24/2022,1,Data as of 8/31/2022,11
5/25/2022,2,Data as of 8/31/2022,13
5/26/2022,2,Data as of 8/31/2022,15
5/27/2022,4,Data as of 8/31/2022,19
5/28/2022,0,Data as of 8/31/2022,19
5/29/2022,3,Data as of 8/31/2022,22
5/30/2022,3,Data as of 8/31/2022,25
5/31/2022,6,Data as of 8/31/2022,31
6/1/2022,6,Data as of 8/31/2022,37
6/2/2022,8,Data as of 8/31/2022,45
6/3/2022,6,Data as of 8/31/2022,51
6/4/2022,1,Data as of 8/31/2022,52
6/5/2022,3,Data as of 8/31/2022,55
6/6/2022,14,Data as of 8/31/2022,69
6/7/2022,7,Data as of 8/31/2022,76
6/8/2022,7,Data as of 8/31/2022,83
6/9/2022,5,Data as of 8/31/2022,88
6/10/2022,13,Data as of 8/31/2022,101
6/11/2022,12,Data as of 8/31/2022,113
6/12/2022,9,Data as of 8/31/2022,122
6/13/2022,15,Data as of 8/31/2022,137
6/14/2022,22,Data as of 8/31/2022,159
6/15/2022,16,Data as of 8/31/2022,175
6/16/2022,15,Data as of 8/31/2022,190
6/17/2022,19,Data as of 8/31/2022,209
6/18/2022,19,Data as of 8/31/2022,228
6/19/2022,14,Data as of 8/31/2022,242
6/20/2022,14,Data as of 8/31/2022,256
6/21/2022,18,Data as of 8/31/2022,274
6/22/2022,25,Data as of 8/31/2022,299
6/23/2022,34,Data as of 8/31/2022,333
6/24/2022,31,Data as of 8/31/2022,364
6/25/2022,31,Data as of 8/31/2022,395
6/26/2022,24,Data as of 8/31/2022,419
6/27/2022,63,Data as of 8/31/2022,482
6/28/2022,57,Data as of 8/31/2022,539
6/29/2022,68,Data as of 8/31/2022,607
6/30/2022,74,Data as of 8/31/2022,681
7/1/2022,61,Data as of 8/31/2022,742
7/2/2022,50,Data as of 8/31/2022,792
7/3/2022,50,Data as of 8/31/2022,842
7/4/2022,46,Data as of 8/31/2022,888
7/5/2022,114,Data as of 8/31/2022,1002
7/6/2022,90,Data as of 8/31/2022,1092
7/7/2022,107,Data as of 8/31/2022,1199
7/8/2022,141,Data as of 8/31/2022,1340
7/9/2022,72,Data as of 8/31/2022,1412
7/10/2022,52,Data as of 8/31/2022,1464
7/11/2022,200,Data as of 8/31/2022,1664
7/12/2022,166,Data as of 8/31/2022,1830
7/13/2022,200,Data as of 8/31/2022,2030
7/14/2022,223,Data as of 8/31/2022,2253
7/15/2022,220,Data as of 8/31/2022,2473
7/16/2022,116,Data as of 8/31/2022,2589
7/17/2022,79,Data as of 8/31/2022,2668
7/18/2022,319,Data as of 8/31/2022,2987
7/19/2022,286,Data as of 8/31/2022,3273
7/20/2022,289,Data as of 8/31/2022,3562
7/21/2022,259,Data as of 8/31/2022,3821
7/22/2022,331,Data as of 8/31/2022,4152
7/23/2022,141,Data as of 8/31/2022,4293
7/24/2022,97,Data as of 8/31/2022,4390
7/25/2022,528,Data as of 8/31/2022,4918
7/26/2022,386,Data as of 8/31/2022,5304
7/27/2022,480,Data as of 8/31/2022,5784
7/28/2022,331,Data as of 8/31/2022,6115
7/29/2022,385,Data as of 8/31/2022,6500
7/30/2022,205,Data as of 8/31/2022,6705
7/31/2022,145,Data as of 8/31/2022,6850
8/1/2022,639,Data as of 8/31/2022,7489
8/2/2022,429,Data as of 8/31/2022,7918
8/3/2022,493,Data as of 8/31/2022,8411
8/4/2022,527,Data as of 8/31/2022,8938
8/5/2022,423,Data as of 8/31/2022,9361
8/6/2022,159,Data as of 8/31/2022,9520
8/7/2022,140,Data as of 8/31/2022,9660
8/8/2022,826,Data as of 8/31/2022,10486
8/9/2022,527,Data as of 8/31/2022,11013
8/10/2022,656,Data as of 8/31/2022,11669
8/11/2022,402,Data as of 8/31/2022,12071
8/12/2022,403,Data as of 8/31/2022,12474
8/13/2022,185,Data as of 8/31/2022,12659
8/14/2022,118,Data as of 8/31/2022,12777
8/15/2022,771,Data as of 8/31/2022,13548
8/16/2022,359,Data as of 8/31/2022,13907
8/17/2022,458,Data as of 8/31/2022,14365
8/18/2022,341,Data as of 8/31/2022,14706
8/19/2022,391,Data as of 8/31/2022,15097
8/20/2022,115,Data as of 8/31/2022,15212
8/21/2022,62,Data as of 8/31/2022,15274
8/22/2022,870,Data as of 8/31/2022,16144
8/23/2022,624,Data as of 8/31/2022,16768
8/24/2022,295,Data as of 8/31/2022,17063
8/25/2022,407,Data as of 8/31/2022,17470
8/26/2022,274,Data as of 8/31/2022,17744
8/27/2022,45,Data as of 8/31/2022,17789
8/28/2022,22,Data as of 8/31/2022,17811
8/29/2022,657,Data as of 8/31/2022,18468
8/30/2022,416,Data as of 8/31/2022,18884
8/31/2022,148,Data as of 8/31/2022,19032
