epi_date,cases,asof,cumulative_sum
5/17/2022,1,Data as of 9/7/2022,1
5/18/2022,0,Data as of 9/7/2022,1
5/19/2022,1,Data as of 9/7/2022,2
5/20/2022,4,Data as of 9/7/2022,6
5/21/2022,0,Data as of 9/7/2022,6
5/22/2022,1,Data as of 9/7/2022,7
5/23/2022,3,Data as of 9/7/2022,10
5/24/2022,1,Data as of 9/7/2022,11
5/25/2022,3,Data as of 9/7/2022,14
5/26/2022,2,Data as of 9/7/2022,16
5/27/2022,3,Data as of 9/7/2022,19
5/28/2022,0,Data as of 9/7/2022,19
5/28/2022,1,Data as of 9/7/2022,20
5/29/2022,3,Data as of 9/7/2022,23
5/30/2022,3,Data as of 9/7/2022,26
5/31/2022,5,Data as of 9/7/2022,31
6/1/2022,6,Data as of 9/7/2022,37
6/2/2022,10,Data as of 9/7/2022,47
6/3/2022,4,Data as of 9/7/2022,51
6/4/2022,1,Data as of 9/7/2022,52
6/5/2022,3,Data as of 9/7/2022,55
6/6/2022,15,Data as of 9/7/2022,70
6/7/2022,7,Data as of 9/7/2022,77
6/8/2022,7,Data as of 9/7/2022,84
6/9/2022,6,Data as of 9/7/2022,90
6/10/2022,14,Data as of 9/7/2022,104
6/11/2022,12,Data as of 9/7/2022,116
6/12/2022,9,Data as of 9/7/2022,125
6/13/2022,9,Data as of 9/7/2022,134
6/14/2022,24,Data as of 9/7/2022,158
6/15/2022,14,Data as of 9/7/2022,172
6/16/2022,18,Data as of 9/7/2022,190
6/17/2022,19,Data as of 9/7/2022,209
6/18/2022,17,Data as of 9/7/2022,226
6/19/2022,14,Data as of 9/7/2022,240
6/20/2022,16,Data as of 9/7/2022,256
6/21/2022,17,Data as of 9/7/2022,273
6/22/2022,26,Data as of 9/7/2022,299
6/23/2022,33,Data as of 9/7/2022,332
6/24/2022,35,Data as of 9/7/2022,367
6/25/2022,32,Data as of 9/7/2022,399
6/26/2022,23,Data as of 9/7/2022,422
6/27/2022,67,Data as of 9/7/2022,489
6/28/2022,56,Data as of 9/7/2022,545
6/29/2022,64,Data as of 9/7/2022,609
6/30/2022,71,Data as of 9/7/2022,680
7/1/2022,63,Data as of 9/7/2022,743
7/2/2022,48,Data as of 9/7/2022,791
7/3/2022,48,Data as of 9/7/2022,839
7/4/2022,46,Data as of 9/7/2022,885
7/5/2022,108,Data as of 9/7/2022,993
7/6/2022,95,Data as of 9/7/2022,1088
7/7/2022,112,Data as of 9/7/2022,1200
7/8/2022,127,Data as of 9/7/2022,1327
7/9/2022,77,Data as of 9/7/2022,1404
7/10/2022,60,Data as of 9/7/2022,1464
7/11/2022,209,Data as of 9/7/2022,1673
7/12/2022,158,Data as of 9/7/2022,1831
7/13/2022,191,Data as of 9/7/2022,2022
7/14/2022,193,Data as of 9/7/2022,2215
7/15/2022,224,Data as of 9/7/2022,2439
7/16/2022,110,Data as of 9/7/2022,2549
7/17/2022,77,Data as of 9/7/2022,2626
7/18/2022,313,Data as of 9/7/2022,2939
7/19/2022,291,Data as of 9/7/2022,3230
7/20/2022,290,Data as of 9/7/2022,3520
7/21/2022,259,Data as of 9/7/2022,3779
7/22/2022,328,Data as of 9/7/2022,4107
7/23/2022,154,Data as of 9/7/2022,4261
7/24/2022,108,Data as of 9/7/2022,4369
7/25/2022,539,Data as of 9/7/2022,4908
7/26/2022,381,Data as of 9/7/2022,5289
7/27/2022,477,Data as of 9/7/2022,5766
7/28/2022,349,Data as of 9/7/2022,6115
7/29/2022,398,Data as of 9/7/2022,6513
7/30/2022,191,Data as of 9/7/2022,6704
7/31/2022,143,Data as of 9/7/2022,6847
8/1/2022,645,Data as of 9/7/2022,7492
8/2/2022,442,Data as of 9/7/2022,7934
8/3/2022,529,Data as of 9/7/2022,8463
8/4/2022,526,Data as of 9/7/2022,8989
8/5/2022,437,Data as of 9/7/2022,9426
8/6/2022,167,Data as of 9/7/2022,9593
8/7/2022,147,Data as of 9/7/2022,9740
8/8/2022,806,Data as of 9/7/2022,10546
8/9/2022,508,Data as of 9/7/2022,11054
8/10/2022,655,Data as of 9/7/2022,11709
8/11/2022,412,Data as of 9/7/2022,12121
8/12/2022,413,Data as of 9/7/2022,12534
8/13/2022,183,Data as of 9/7/2022,12717
8/14/2022,131,Data as of 9/7/2022,12848
8/15/2022,785,Data as of 9/7/2022,13633
8/16/2022,368,Data as of 9/7/2022,14001
8/17/2022,473,Data as of 9/7/2022,14474
8/18/2022,379,Data as of 9/7/2022,14853
8/19/2022,423,Data as of 9/7/2022,15276
8/20/2022,157,Data as of 9/7/2022,15433
8/21/2022,99,Data as of 9/7/2022,15532
8/22/2022,896,Data as of 9/7/2022,16428
8/23/2022,640,Data as of 9/7/2022,17068
8/24/2022,335,Data as of 9/7/2022,17403
8/25/2022,450,Data as of 9/7/2022,17853
8/26/2022,327,Data as of 9/7/2022,18180
8/27/2022,80,Data as of 9/7/2022,18260
8/28/2022,44,Data as of 9/7/2022,18304
8/29/2022,533,Data as of 9/7/2022,18837
8/30/2022,439,Data as of 9/7/2022,19276
8/31/2022,266,Data as of 9/7/2022,19542
9/1/2022,446,Data as of 9/7/2022,19988
9/2/2022,369,Data as of 9/7/2022,20357
9/3/2022,45,Data as of 9/7/2022,20402
9/4/2022,20,Data as of 9/7/2022,20422
9/5/2022,25,Data as of 9/7/2022,20447
9/6/2022,677,Data as of 9/7/2022,21124
9/7/2022,117,Data as of 9/7/2022,21241
