epi_date_v2,cases,7-day average,cumulative cases,asof,cumulative_sum
5/10/2022,1,0.0,1,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,1
5/11/2022,1,0.0,2,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,2
5/12/2022,2,0.0,4,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,4
5/13/2022,0,0.0,4,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,4
5/14/2022,0,0.0,4,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,4
5/15/2022,1,0.0,5,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,5
5/16/2022,4,1.285714286,9,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,9
5/17/2022,3,1.571428571,12,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,12
5/18/2022,1,1.571428571,13,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,13
5/19/2022,2,1.571428571,15,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,15
5/20/2022,1,1.714285714,16,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,16
5/21/2022,1,1.857142857,17,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,17
5/22/2022,1,1.857142857,18,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,18
5/23/2022,2,1.571428571,20,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,20
5/24/2022,3,1.571428571,23,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,23
5/25/2022,4,2.0,27,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27
5/26/2022,1,1.857142857,28,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28
5/27/2022,4,2.285714286,32,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,32
5/28/2022,0,2.142857143,32,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,32
5/29/2022,4,2.571428571,36,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,36
5/30/2022,5,3.0,41,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,41
5/31/2022,6,3.428571429,47,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,47
6/1/2022,6,3.714285714,53,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,53
6/2/2022,9,4.857142857,62,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,62
6/3/2022,6,5.142857143,68,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,68
6/4/2022,3,5.571428571,71,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,71
6/5/2022,5,5.714285714,76,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,76
6/6/2022,12,6.714285714,88,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,88
6/7/2022,17,8.285714286,105,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,105
6/8/2022,6,8.285714286,111,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,111
6/9/2022,4,7.571428571,115,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,115
6/10/2022,20,9.571428571,135,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,135
6/11/2022,13,11.0,148,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,148
6/12/2022,17,12.71428571,165,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,165
6/13/2022,14,13.0,179,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,179
6/14/2022,23,13.85714286,202,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,202
6/15/2022,28,17.0,230,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,230
6/16/2022,21,19.42857143,251,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,251
6/17/2022,22,19.71428571,273,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,273
6/18/2022,22,21.0,295,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,295
6/19/2022,24,22.0,319,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,319
6/20/2022,24,23.42857143,343,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,343
6/21/2022,26,23.85714286,369,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,369
6/22/2022,40,25.57142857,409,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,409
6/23/2022,42,28.57142857,451,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,451
6/24/2022,42,31.42857143,493,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,493
6/25/2022,43,34.42857143,536,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,536
6/26/2022,46,37.57142857,582,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,582
6/27/2022,95,47.71428571,677,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,677
6/28/2022,78,55.14285714,755,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,755
6/29/2022,76,60.28571429,831,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,831
6/30/2022,100,68.57142857,931,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,931
7/1/2022,117,79.28571429,1048,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,1048
7/2/2022,102,87.71428571,1150,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,1150
7/3/2022,103,95.85714286,1253,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,1253
7/4/2022,108,97.71428571,1361,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,1361
7/5/2022,154,108.5714286,1515,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,1515
7/6/2022,159,120.4285714,1674,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,1674
7/7/2022,166,129.8571429,1840,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,1840
7/8/2022,197,141.2857143,2037,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,2037
7/9/2022,153,148.5714286,2190,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,2190
7/10/2022,140,153.8571429,2330,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,2330
7/11/2022,302,181.5714286,2632,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,2632
7/12/2022,215,190.2857143,2847,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,2847
7/13/2022,279,207.4285714,3126,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,3126
7/14/2022,263,221.2857143,3389,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,3389
7/15/2022,346,242.5714286,3735,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,3735
7/16/2022,203,249.7142857,3938,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,3938
7/17/2022,177,255.0,4115,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,4115
7/18/2022,372,265.0,4487,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,4487
7/19/2022,318,279.7142857,4805,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,4805
7/20/2022,315,284.8571429,5120,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,5120
7/21/2022,305,290.8571429,5425,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,5425
7/22/2022,373,294.7142857,5798,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,5798
7/23/2022,243,300.4285714,6041,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,6041
7/24/2022,231,308.1428571,6272,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,6272
7/25/2022,535,331.4285714,6807,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,6807
7/26/2022,356,336.8571429,7163,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,7163
7/27/2022,468,358.7142857,7631,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,7631
7/28/2022,423,375.5714286,8054,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,8054
7/29/2022,465,388.7142857,8519,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,8519
7/30/2022,318,399.4285714,8837,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,8837
7/31/2022,264,404.1428571,9101,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,9101
8/1/2022,572,409.4285714,9673,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,9673
8/2/2022,508,431.1428571,10181,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,10181
8/3/2022,490,434.2857143,10671,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,10671
8/4/2022,451,438.2857143,11122,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,11122
8/5/2022,491,442.0,11613,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,11613
8/6/2022,343,445.5714286,11956,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,11956
8/7/2022,273,446.8571429,12229,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,12229
8/8/2022,548,443.4285714,12777,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,12777
8/9/2022,461,436.7142857,13238,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,13238
8/10/2022,510,439.5714286,13748,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,13748
8/11/2022,428,436.2857143,14176,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,14176
8/12/2022,436,428.4285714,14612,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,14612
8/13/2022,308,423.4285714,14920,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,14920
8/14/2022,261,421.7142857,15181,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,15181
8/15/2022,554,422.5714286,15735,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,15735
8/16/2022,372,409.8571429,16107,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,16107
8/17/2022,363,388.8571429,16470,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,16470
8/18/2022,433,389.5714286,16903,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,16903
8/19/2022,433,389.1428571,17336,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,17336
8/20/2022,286,386.0,17622,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,17622
8/21/2022,201,377.4285714,17823,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,17823
8/22/2022,428,359.4285714,18251,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,18251
8/23/2022,419,366.1428571,18670,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,18670
8/24/2022,322,360.2857143,18992,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,18992
8/25/2022,356,349.2857143,19348,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,19348
8/26/2022,365,339.5714286,19713,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,19713
8/27/2022,173,323.4285714,19886,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,19886
8/28/2022,173,319.4285714,20059,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,20059
8/29/2022,403,315.8571429,20462,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,20462
8/30/2022,322,302.0,20784,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,20784
8/31/2022,279,295.8571429,21063,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,21063
9/1/2022,353,295.4285714,21416,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,21416
9/2/2022,326,289.8571429,21742,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,21742
9/3/2022,153,287.0,21895,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,21895
9/4/2022,121,279.5714286,22016,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,22016
9/5/2022,172,246.5714286,22188,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,22188
9/6/2022,423,261.0,22611,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,22611
9/7/2022,236,254.8571429,22847,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,22847
9/8/2022,254,240.7142857,23101,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,23101
9/9/2022,256,230.7142857,23357,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,23357
9/10/2022,117,225.5714286,23474,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,23474
9/11/2022,91,221.2857143,23565,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,23565
9/12/2022,197,224.8571429,23762,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,23762
9/13/2022,239,198.5714286,24001,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,24001
9/14/2022,173,189.5714286,24174,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,24174
9/15/2022,183,179.4285714,24357,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,24357
9/16/2022,198,171.1428571,24555,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,24555
9/17/2022,108,169.8571429,24663,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,24663
9/18/2022,93,170.1428571,24756,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,24756
9/19/2022,293,183.8571429,25049,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,25049
9/20/2022,181,175.5714286,25230,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,25230
9/21/2022,148,172.0,25378,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,25378
9/22/2022,158,168.4285714,25536,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,25536
9/23/2022,170,164.4285714,25706,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,25706
9/24/2022,79,160.2857143,25785,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,25785
9/25/2022,58,155.2857143,25843,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,25843
9/26/2022,177,138.7142857,26020,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26020
9/27/2022,145,133.5714286,26165,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26165
9/28/2022,122,129.8571429,26287,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26287
9/29/2022,123,124.8571429,26410,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26410
9/30/2022,112,116.5714286,26522,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26522
10/1/2022,64,114.4285714,26586,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26586
10/2/2022,39,111.7142857,26625,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26625
10/3/2022,133,105.4285714,26758,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26758
10/4/2022,111,100.5714286,26869,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26869
10/5/2022,86,95.42857143,26955,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,26955
10/6/2022,111,93.71428571,27066,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27066
10/7/2022,109,93.28571429,27175,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27175
10/8/2022,39,89.71428571,27214,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27214
10/9/2022,28,88.14285714,27242,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27242
10/10/2022,58,77.42857143,27300,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27300
10/11/2022,139,81.42857143,27439,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27439
10/12/2022,95,82.71428571,27534,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27534
10/13/2022,76,77.71428571,27610,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27610
10/14/2022,88,74.71428571,27698,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27698
10/15/2022,26,72.85714286,27724,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27724
10/16/2022,21,71.85714286,27745,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27745
10/17/2022,101,78.0,27846,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27846
10/18/2022,46,64.71428571,27892,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27892
10/19/2022,73,61.57142857,27965,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,27965
10/20/2022,68,60.42857143,28033,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28033
10/21/2022,39,53.42857143,28072,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28072
10/22/2022,19,52.42857143,28091,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28091
10/23/2022,12,51.14285714,28103,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28103
10/24/2022,66,46.14285714,28169,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28169
10/25/2022,39,45.14285714,28208,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28208
10/26/2022,46,41.28571429,28254,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28254
10/27/2022,66,41.0,28320,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28320
10/28/2022,44,41.71428571,28364,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28364
10/29/2022,9,40.28571429,28373,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28373
10/30/2022,10,40.0,28383,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28383
10/31/2022,34,35.42857143,28417,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28417
11/1/2022,28,33.85714286,28445,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28445
11/2/2022,12,29.0,28457,Data as Reported to CDC as of 02 Nov 2022 2:00 PM EDT,28457
